Wall time,Step,Value
1767444492.780749,25000,-73.2903060913086
1767444496.1852267,32768,-73.2903060913086
1767444517.4024677,50000,-75.49027252197266
1767444524.064068,65536,-75.49027252197266
1767444541.6717846,75000,-71.09033966064453
1767444551.6068275,98304,-71.09033966064453
1767444565.3879905,100000,-74.39028930664062
1767444578.8020828,125000,-74.39028930664062
1767444581.4846823,131072,-74.39028930664062
1767444602.1753275,150000,-75.49027252197266
1767444608.0946202,163840,-75.49027252197266
1767444625.5547833,175000,-75.49027252197266
1767444634.7680159,196608,-75.49027252197266
1767444649.3452876,200000,-75.49027252197266
1767444662.6564076,225000,-75.49027252197266
1767444664.6129363,229376,-75.49027252197266
1767444686.4962974,250000,-75.49027252197266
1767444691.7181437,262144,-75.49027252197266
1767444710.1637237,275000,-75.49027252197266
1767444718.639883,294912,-75.49027252197266
1767444733.6944642,300000,-74.39028930664062
1767444747.8710413,325000,-74.39028930664062
1767444749.2294226,327680,-74.39028930664062
1767444772.6708305,350000,-75.49027252197266
1767444777.6228507,360448,-75.49027252197266
1767444797.4888282,375000,-75.49027252197266
1767444806.0012069,393216,-75.49027252197266
1767444822.6088495,400000,-75.49026489257812
1767444836.9615073,425000,-75.49026489257812
1767444837.4720993,425984,-75.49026489257812
1767444861.5110593,450000,-75.49026489257812
1767444865.6139562,458752,-75.49026489257812
1767444886.7313187,475000,-74.39028930664062
1767444894.3998556,491520,-74.39028930664062
1767444911.2747712,500000,-74.39028930664062
1767444922.5509372,524288,-74.39028930664062
1767444936.0607173,525000,-75.49026489257812
1767444950.3907018,550000,-75.49026489257812
1767444953.72344,557056,-75.49026489257812
1767444975.01239,575000,-75.49027252197266
1767444981.9204013,589824,-75.49027252197266
1767444999.4191492,600000,-75.49026489257812
1767445010.05006,622592,-75.49026489257812
1767445024.1683724,625000,-75.49026489257812
1767445038.5160792,650000,-75.49026489257812
1767445041.0722287,655360,-75.49026489257812
1767445062.92484,675000,-74.39028930664062
1767445069.2835948,688128,-74.39028930664062
1767445088.2086782,700000,-75.49026489257812
1767445097.91512,720896,-75.49026489257812
1767445113.2254815,725000,-75.49026489257812
1767445127.678564,750000,-75.49026489257812
1767445129.468974,753664,-75.49026489257812
1767445151.967106,775000,-75.49026489257812
1767445157.3016267,786432,-75.49026489257812
1767445176.3523514,800000,-75.49026489257812
1767445185.3698428,819200,-75.49026489257812
1767445200.8732903,825000,-75.49026489257812
1767445215.1650493,850000,-75.49026489257812
1767445216.1425693,851968,-75.49026489257812
1767445239.486936,875000,-75.49026489257812
1767445244.1108792,884736,-75.49026489257812
1767445263.7861521,900000,-75.49026489257812
1767445271.9659815,917504,-75.49026489257812
1767445288.1753826,925000,-75.49026489257812
1767445302.5205574,950000,-75.49026489257812
1767445302.7215211,950272,-75.49026489257812
1767445327.3324318,975000,-75.49026489257812
1767445331.1160262,983040,-75.49026489257812
1767445351.7354405,1000000,-75.49026489257812
1767445359.301998,1015808,-75.49026489257812
